form	lemma	POS	morph
༄༅། །		PUNCT
ཆོ་	ཆོ་	NOUN
བརྒྱད་	བརྒྱད་	NUM
རང་གྲོལ་	རང་གྲོལ་	NOUN
གྱི་	གི་	PART
མགོ་	མགོ་	NOUN
སྙོམས་	སྙོམས་	VERB
ཀྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
གང་	གང་	NO_POS
གི་	གི་	PART
གསུང་	གསུང་	VERB
ངག་	ངག་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
གྱིས་	གིས་	PART
། །		PUNCT
མ་	མ་	PART
རྟོགས་	རྟོགས་	VERB
ལོག་རྟོག་	ལོག་རྟོག་	OTHER
ཕྱོགས་རྟོགས་	ཕྱོགས་རྟོགས་	NO_POS
མུན་བསལ་	མུན་བསལ་	NO_POS
ན་	ནས་	PART
། །		PUNCT
གོལ་	གོལ་	NO_POS
འཕྱུག་	འཕྱུག་	NO_POS
མེད་པ་	མེད་པ་	VERB
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
ལམ་	གམ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
འི་	གི་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
ས་	གིས་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
རྙེད་	རྙེད་	VERB
དང་	དང་	NO_POS
མི་	མི་	PART
རྙེད་	རྙེད་	VERB
གྲག་	གྲག་	VERB
དང་	དང་	NO_POS
མ་	མ་	PART
གྲག་	གྲག་	VERB
དང་	དང་	NO_POS
། །		PUNCT
བདེ་	བདེ་	VERB
དང་	དང་	NO_POS
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
བསྟོད་	བསྟོད་	VERB
དང་	དང་	NO_POS
སྨད་པ་	སྨད་པ་	VERB
རྣམས་	རྣམས་	DET
། །		PUNCT
